Sherpa,xsr,SK
Shina,scl,JK
Sholaga,sle,KA
Shom peng ,sii,AN
Shumcho,scu,HP
Sikkimese,sip,SK
Simte,smt,MN
Sindhi,snd,GJ
Singpho,sgp,AR
Sirmauri,srx,HP
Sora,srb,OR
Spiti Bhoti,spt,HP
Stod Bhoti,sbu,HP
Sunam,ssk,HP
Surgujia,sgj,CH
Surjapuri,sjp,BH
Sylheti,syl,AS
Tagin,tgj,AR
"Tamang, Eastern",taj,SK
Tamil,tam,TN
Telugu,tel,AP
Teressa ,tef,AN
Thachanadan,thn,KL
Thangmi,thf,SK
"Tharu, Chitwania",the,BH
"Tharu, Dangaura",thl,UP
"Tharu, Kathoriya",tkt,UP
"Tharu, Kochila",thq,BH
"Tharu, Rana",thr,UP
Thulung,tdh,SK
Tibetan,bod,HP
Tinani,lbf,HP
Tiwa,lax,AS
Toda,tcx,TN
Toto,txo,NB
Tshangla,tsj,AR
Tukpa,tpq,HP
Tulu,tcy,KA
Turi,trd,JH
Turung,try,AS
Ullatan,ull,KL
Urali,url,KL
Urdu,urd,JK
Vaagri Booli,vaa,TN
Vaiphei,vap,MN
Varhadi-Nagpuri ,vah,MH
Varli,vav,MH
Vasavi,vas,GJ
Vishavan,vis,KL
Waddar,wbq,MH
Wagdi,wbr,RJ
Walungge,ola,SB
War-Jaintia,aml,ML
Yakha ,ybh,SK
Yerukula,yeu,TA
Zakhring ,zkr,AR
Zangskari,zx ,JK
Zou,zom,MN
Chilomilo,xxx,TR
Chorei,xxx,TR
Kaipeng,xxx,TR
Molsom,xxx,TR
Bokar,xxx,AR
Ranglong,xxx,TR
Baiga,xxx,MH
Khortha,xxx,JH
Bagiliyani,xxx,HP
Sapera,xxx,UP
Vajjika,xxx,BH
Baghlayani,xxx,HP
Kulvi Inner Seraji,xxx,HP
Kulvi Outer Seraji,xxx,HP
Pahari Dogri,xxx,HP
Soriyali,xxx,HP
Pando,jpd,CH
