Language Name,ISO,STATE,LgFly,Translation Status/Need,Strategic Zone,Orgs Involved,TR Org,Population,Pop. Source,"Pop in
2011",Location,#Of translations,OT Tr in progress,Decision Criteria,Translation Status,Status date,NT in Progress,Project location (State & District),"NT Start
Date","OT Start
Date","NT Pub
Date",NT Revised,"First BB 
Pub. Date",Bible revised,NT Script,Cluster,Translators/Facilitators name,Other information,No,"Literacy Rate
in L1","Literacy Rate
in L2","Source on
Literacy (L2)","Second
Language (L2)",GFA,TWR,FEBA,NT,Portions,Jesus Film,Jesus Film Audio,Jesus Film Children,Dayasagar,God Story,Radio Broadcast,,,,,,,,,,
Aka-Bo,akm,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,0,Ethnologue 09,,"Andaman Islands, East Zone Central Zone coast of North Andaman Island, and Nth Reef Island",,,extinct,,,,,,,,,,,,Andaman,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Aka-Cari,aci,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,0,Ethnologue 09,,"Andaman Islands, north coast of North Andaman Island, Landfall Island, and other nearby small islands",,,extinct,,,,,,,,,,,,Andaman,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
Aka-Jeru,akj,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,0,Ethnologue 09,,"Andaman Islands, interior and south North Andaman Island, and Sound Island",,,extinct,,,,,,,,,,,,Andaman,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Aka-Kede,akx,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,0,Ethnologue 09,,"Andaman Islands, Central Zone and north Central Zone Middle Andaman Island",,,extinct,,,,,,,,,,,,Andaman,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
Aka-Kol,aky,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,0,Ethnologue 09,,"Andaman Islands, southEast Zone Middle Andaman Island",,,extinct,,,,,,,,,,,,Andaman,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
Aka-Kora,ack,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,0,Ethnologue 09,,"Andaman Islands, northEast Zone and north Central Zone coasts of North Andaman Island, and Smith Island",,,extinct,,,,,,,,,,,,Andaman,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
Akar-Bale,acl,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,0,Ethnologue 09,,"Andaman Islands, Ritchie's Archipelago, Havelock Island, NEI Zonell Island",,,extinct,,,,,,,,,,,,Andaman,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
Allar,all,Kerala,Dravidian,Limited Need,South Zone,"many Church planting agencies (Bretheren, Independent, Pentecostal etc), BMI",,350,,,"Kerala [Malappuram District - Perinthalmanna tahsil, Manjeri tahsil - Mannarmala, Aminikadu, and Tazhecode; Palakkad district - Mannarkkad and Ottappalam tahsils]",,,"low pop, also speaks Malayalam (Survey 2006), within the group speaks MT",,,,,,,,,,,,Palakkad cluster,,BMI completed recording of a set of story,18,1%,,,,,,,,,,,,,,,,,,,,,,,,
Amri Karbi,ajz,Assam,Tibeto-Burman,Translation in Progress,NEI Zone,"AKBKA, BSI",BSI/TSC,125000,Ethnologue 09,,"Assam [Kamrup district - south of the Brahmaputra river including Chandubi, Loharghat, Rani block, Jalukbari, Pandu, Basbistha, Panikhaith, Jorabat, Sonapur, Khetri, Kahi Kusi]; Meghalaya [Ri-Bhoi district - Nongpoh area, including Barni Hat and Umling]",1,,BSI project,The NT is in the press and be published very soon.,,X,,2004,,,,,,,Assam,,,19,,20 - 60%,,,,,,,,,,,,,,,,,,,,,,,
Anal,anm,Manipur,Tibeto-Burman,Whole Bible Available,NEI Zone,"BAP, BSI, GR, SGM",BSI,21420,Census 2001,,"SouthEast Zone Manipur [Chandel district - Chandel, Chakpikarong, Tengnoupal subdivisions, on banks of Chakpi River]",,,,,,,,,,1983,,2006,,,Kuki-Chin Linguistic Cluster,,,20,74%,,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Andaman Creole Hindi,hca,Andaman and Nicobar Islands,Creole,Limited Need,South Zone,BMI,,20500,Singh 1994,,Andaman and Nicobar Islands [Port Blair and 40 villages south of Port Blair],,,"They use their languge at home, All ages. Use standard Hindi [hin] with outsiders. Diglossia.",,,,,,,,,,,,Andaman,,BMI completed recording of a set of story,21,,,,,,,,,,,,,,,,,,,,,,,,,
Andh,anr,Maharashtra,Indo-Aryan,Translation in Progress,Central Zone,,TWFTW,382607,Census 2001,,"Maharashtra [Akola, Aurangabad, Buldana, Nanded, Parbhani, Yavatmal districts]; Andhra Pradesh [Adilabad, Hyderabad]; Madhya Pradesh",1,,They speak Marathi,,,,,,,,,,,,Konkani cluster,,,22,1%,,,,,,,,,,,,,,,,,,,,,,,,
Angika,anp,Bihar,Indo-Aryan,Translation in Progress,Hindi Zone,SEED COMPANY,NIEA/TSC,725000,Ethnologue 09,,Northern Bihar,1,,,,,X,,2008,,,,,,,Maithili,,,23,,,,,,,,,,,,,,,,,,,,,,,,,
Apatani,apt,Arunachal Pradesh,Tibeto-Burman,NT available,NEI Zone,"GR, BSI, BAP, SGM",BSI/ABS/UBS,27576,Census 2001,,"Arunachal Pradesh [Lower Subansiri District - 7 villages in Ziro Valley - Hong, Hari, Billa, Dutta, Hija, Mudang-Tage, and Michi Bamin]; Assam; Nagaland",,,,,,,,2005,,2012,,,,,Arunachal,,,24,,71%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
A-Pucikwar,apq,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,25,2005 Survey,,Andaman Islands [Strait Island],,,Almost extinct. Only 10 speakers left,,,,,,,,,,,,Andaman,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
"Arabic, Judeo-Iraqi",yhd,Andhra Pradesh,,No Need in India,South Zone,,,,Ethnologue 09,,Andhra Pradesh, West Bengal,,,immigrant language,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,
Arakanese,rmz,Tripura,Tibeto-Burman,No Need in India,NEI Zone,,MSEA,24000,wikipedia,,"Tripura; West Bengal; Mizoram [Mombusu, Dungjangtalang, Mowthimambrow villages]; Assam;",,,"BT in oral stories began in Myanmar (Nathan, Feb 2011). Lg is very close to standard Burmese, so written translation may not necessary.",,,,,,,,,,,,Tripura Ethnic Cluster,,,27,,,,,,,,,x,,,,,,,,,,,,,,,,
Aranadan,aaf,Kerala,Dravidian,No Need,South Zone,"Few church planting agencies (Independent, Pentecostal etc)",,197,Census 2001,,Kerala [Kozhihkode district - Ernad taluk, Palakkad District, Malappuram district - Nilambur tahsil], Tamil Nadu, Karnataka,,,"Vitality in Malappuram District questionable due to small population, no separate settlements, living with Malayalis. Low education level helps keep language stable. Home, village. Negative attitudes. Most have at lEast Zone basic proficiency in Malayalam [mal], which is used in all the same domains as Aranadan.",,,,,,,,,,,,Palakkad cluster,,,28,1%,36 - 61%,,,,,,,,,,,,,,,,,,,
Armenian,hye,,,No Need in India,Not Applicable,,,500,Ethnologue 09,,,,,immigrant language,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese,asm,Assam,Indo-Aryan,Whole Bible Available,NEI Zone,"GR, RC, CCC, BAP, BSI, SGM, TWR, WCOI, WBTC, GFA Radio and Many church planting agencies",BSI/SAG/IEM,12778735,Census 2001,,Assam, West Bengal, Meghalaya, Arunachal Pradesh,,,,Mussalmani version in progress,,,,,,1819,,1833,,,Non-Standard Bengali Cluster,,,30,,,,,x,x,,x,,Yes,Yes,Yes,Yes,,Yes,,,,,,,
Asuri,asr,Jharkhand,Austro-Asiatic,Translation in Progress,East Zone,,NLCI,14580,Census 2001,,"Jharkhand [southern Palamau, northern Ranchi, Gumla and Lohardaga districts of Chotanagpur Plateau]; Chhattisgarh [Raigarh District - Jashpur area]; Maharashtra; Orissa [Sambalpur District]; West Bengal",1,,,"Mark Gospel published. Mark and Luke consultant checking over, Mathew and John drafting is over. I Corin drafting, Jude and I John going on.",,X,,2010,,,,,,,Munda,,,31,1%,,,,,,,,,,,,,,,,,,,,,,,,
Atong,aot,Meghalaya,Tibeto-Burman,Limited Need,NEI Zone,,GBC/SAG,4600, Ethnologue 09,,Meghalaya [Garo Hills], Assam [southern Kamrup district],,,,They speak their language among themselves,,,,,,,,,,,,Northern Dhaka Division Cluster,,"Garo Baptist Churches with SAG are undertaking Scripture Engagement, with translation to be added if community wants, but not clear need as of now.",32,,,,,,,,,,,,,,,,,,,,,,,
Awadhi,awa,Uttar Pradesh,Indo-Aryan,Whole Bible Available,Hindi Zone,"IBS, WBTC, TWR, GR, WCOI, GFA Radio",,2529308,Census 2001,,"Uttar Pradesh [Kheri, Sitapur, Lucknow, Unnao, Rae-Bareli, Bahraich, Bara-Banki, Pratapgarh, Sultanpur, Gonda, Faizabad, Allahabad districts]; Bihar; Madhya Pradesh; Delhi",,,,,,,,,,1996,,2000,,,Uttar Pradesh cluster,,,33,50 - 75%,,,,x,x,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,
Badaga,bfq,Tamil Nadu,Dravidian,NT available,South Zone,"GR, RC, IBT, SGM, CSI, FEBA, WCOI, BIT-LIT",IBT,134514,Census 2001,152718,"Tamil Nadu [Madras-Nilgiri, Kunda hills. 200 villages]",,X,,,,,,,,1998,,,,,Nilgiris,,,34,,,,,,,,x,,Yes,Yes,,,Yes,,,,,,,,,,,
Bagheli,bfy,Madhya Pradesh,Indo-Aryan,Translation in Progress,Central Zone,"GR, CSI, IEM, GFA Radio",WIN/IBT,2865011,Census 2001,,"NorthEast Zone Madhya Pradesh [Rewa, Satna, Sidhi, Shahdol, Umaria, Anuppur, Jabalpur, Mandla, Chhindwara, Dindori, Panna districts]; Uttar Pradesh [Allahabad, Mirzapur, Banda, Hamirpur districts]; Chhattisgarh [Bilaspur and Koriya districts]",2,,,Two translation are in progress,,X,,2007,,,,,,,Bagheli cluster,,,35,,49%,,,x,,,,x,Yes,Yes,,,,Yes,,,,,,,,,,
Bagri,bgq,Rajasthan,Indo-Aryan,Translation in Progress,West Zone,"many Church planting agencies (Bretheren, Independent, Pentecostal etc) and they are doing effective ministry over here. Seva Bharat and one Church denominations called Good News for India combined  doing Bible coaching classes for local natives. Campus Crusade.",WIN/IBT,1434123,Census 2001,,"Rajasthan [Hanumangarh, Sriganganagar districts]; Punjab [Firozepur district]; Haryana [Sirsa, Fatehabad districts]",2,,,"10 books has been published, 19 book drafting completed and 12 books consultant check is over.",2/05/2016,X,,2007,,,,,,,Rajasthani cluster,,,36,,,,,x,,,,,Yes,Yes,,,,Yes,,,,,,,,,,
"Balochi, Eastern",bgp,Punjab,Indo-Aryan,No Need in India,North West Zone,,,800,Ethnologue 09,,Uttar Pradesh, Gujarat,,,Lg of Pak,,,,,,,,,,,,,,,37,1%,5 - 15%,,,,,,,x,Yes,Yes,,,,,,,,,,,,,
Balti,bft,Jammu and Kashmir,Tibeto-Burman,No Need in India,North West Zone,,,38818,Census 2001,,Jammu and Kashmir,,,TR in Pak,,,,,,,,,,,,HI – Balti,,,38,,3 - 5%,,,,,,,x,Yes,Yes,,,,,,,,,,,,,,
Bantawa,bap,Sikkim,Tibeto-Burman,No Need in India,NEI Zone,,,14378,Census 2001,,"Sikkim [Rolep, Lingdum and many other parts of the state]; Darjeeling; Assam",,,TR in Nepal,,,,,,,,,,,,Sikkim cluster,,,39,,,,,x,,,,,,,,,,Yes,,,,,,,,,,
"Bareli, Palya",bpx,Madhya Pradesh,Indo-Aryan,Translation in Progress,Central Zone,"Missions India, Maranatha, FMPB",TWFTW,25000,,,"Madhyda Pradesh [Barwani district - Rajpur, Barwani tahsils; Khargone district - Jhirniya tahsil]; Maharashtra [Jalgaon district - Yawal, Raver tahsils; Dhule district - Shirpur tahsil]",1,,,,,,,2009,,,,,,,Bareli cluster,,,40,,10%,,,,,,,,,,,,,,,,,,,,,,,
"Bareli, Pauri",bfb,Maharashtra,Indo-Aryan,Translation in Progress,Central Zone,"Swartha Alliance Mission, Catholic Mission, FMPB, IET",FMPB/OA,150000,,,"Maharashtra [Nandurbar district - Dhadgaon, Shahada, Taloda tahsils; Dhule district - Shirpur tahsil]; Madhya Pradesh, [Barwani district - Pansemal tahsil; Nivali and Pati blocks]",1,,,,,X,,2000,,,,,,,Bareli cluster,,,41,,10%,,,,,,,,,,,,,,,,,,,,,,,
"Bareli, Rathwi",bgd,Madhya Pradesh,Indo-Aryan,Translation in Progress,Central Zone,"IET, YWAM, Missions India, Maranatha, FMPB, Filadelfia, NFE, New Life Ministries , OM, Satsang Ministries apart from NLCI",NLCI,63700,,,"Madhya Pradesh [Barwani district - Barwani, Sendhwa, Rajpur tahsils; Khargone (West Nimar) district - Bhagawanpura, Jhirniya, Bhikangaon tahsils; Dewas district - Bagli tahsil; Khandwa (East Zone Nimar) district - Burhanpur tahsil; Dhar district - Dahi block; ",1,,,"Lions Children Bible translated, ready to publish. Translated books: In Rathwi- Mark, Jonah and some Palsms, 5 New Readers Booklets  Palya-none. Published books: Gospels & Acts published by Catholics, Jesus Film (by us), NRS I to VI series published in 2010 October. [New Testament, all the books except Hebrews and Revelation remaining. Also, Psalms, Genesis, Ezra and Nehemiah drafted.  Mark, Luke, Philippians, Titus, Ps. 1-25, except (3 and 4), Published: Philippians  (trial version)",,X,,2002,,,,,,,Bareli cluster,,,42,,10%,,,,,,,x,Yes,Yes,,,,,,,,,,,,,,
Bateri,btv,Jammu and Kashmir,Indo-Aryan,No Need in India,North West Zone,,,800,Ethnologue 09,,"Jammu and Kashmir, near Srinagar",,,Lg of Pak,,,,,,,,,,,,Pahari cluster,,,43,,,,,,,,,,,,,,,,,,,,,,,,,
Bauria,bge,Punjab,Indo-Aryan,Translation in Progress,North West Zone,,BMI,162353,Census 2001,,Punjab, Haryana, Chandigarh, Himachal Pradesh, Delhi, Rajasthan, Uttar Pradesh,1,,They speak their language ,,,X,,2012,,,,,,,Bhil,,,44,1%,,,,,,,,,,Yes,,,,,,,,
Bazigar,bfr,Punjab,Dravidian,Translation in Progress,North West Zone,,BMI,208442,Census 2001,,Haryana, Chandigarh, Delhi, Himachal Pradesh, Punjab, Gujarat, Jammu and Kashmir, Madhya Pradesh, Karnataka,1,,They speak their language ,,,X,,2012,,,,,,,Bagri,,"In Punjab, they are distributed in 12 districts, Patiala, Sangurur, Faridkot, are the main settlement areas. Their population is around 120,250 in 1981. They are also in Haryana, population is around 56,383 in 1981 census, concentrated in Ambala, Kurukshethra, Karnal, Rotak and Hissar districts. ",45,1%,,,,,,,,,,Yes,,,,,,
Bellari,brw,Karnataka,Dravidian,No Need,South Zone,,,1352,Ethnologue 09,,Karnataka, Kerala, Tamil Nadu,,,Shifting,,,,,,,,,,,,Tulu,,,46,1%,,,,,,,,,,,,,,,,,,,,,,
Bengali,ben,(southern) West Bengal,Indo-Aryan,Whole Bible Available,East Zone,"GR, IBS, CCC,CNI, FEBA, INT, MET, SGM, BSI, TWR, WBTC, WOCI, GFA Radio",,82462437,Census 2001,,"West Bengal; Jharkhand [Dhanbad, Manbhum, Singhbhum, Santal Parganas]; Bihar; Assam [Goalpara district]; Meghalaya [Garo Hills]; Mizoram; Nagaland",,,,,,,,,,1801,,1809,,,,,,47,,,,,x,x,,x,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
Bhadrawahi,bhd,Jammu and Kashmir,Indo-Aryan,Translation in Progress,North West Zone,BMI??,OA,66918,Census 2001,,Jammu and Kashmir [Doda District - Bhadarwah  town and surrounding villages],1,,Storying project started,Stage 3 is going on for (66%) completed,,X,,NA,,,,,,,Pahari cluster,,,48,,70%,,,,,,,,Yes,Yes,,,,,,,,,,,,,,
Bhalay,bhx,Maharashtra,Indo-Aryan,Translation in Progress,Central Zone,,TWFTW,8670,Ethnologue 09,,Maharashtra [Amravati District],1,,,,,,,2015,,,,,,,Konkani cluster,,,49,,,,,,,,,,,,,,,,,,,,,,,,,
Bharia,bha,Madhya Pradesh,Dravidian,Translation in Progress,Central Zone,,WIN,152472,Census 2001,,"Madhya Pradesh [Chhatarpur, Chhindwara, Datia, Jabalpur, Mandla, Panna, Rewa, Sidhi, Tikamgarh districts]; Chhattisgarh [Bilaspur, Durg, Surguja districts]; Uttar Pradesh; West Bengal",1,,,,,X,,2010,,,,,,,Bagheli cluster,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
Bhatola,btl,Madhya Pradesh,,Research Need,Central Zone,,,5050,Ethnologue 09,,Madhya Pradesh, Chhattisgarh?,,,,,,,,,,,,,,,Bagheli cluster,,,51,,,,,,,,,,,,,,,,,,,,,,,,
Bhatri,bgw,Chandigarh,Indo-Aryan,Translation in Progress,Central Zone,"IEM, Maranatha, Bible Mission, Methodist, Campus Crusade, Vishwani.",IEM/IBT,216940,Census 2001,,Chhattisgarh [Bastar District - Jagdalpur tahsil], Maharashtra, Orissa [Koraput District - Kotpad tahsil],2,,,,,,,1998,,,,,,,Chhattisgarhi,,,52,,38%,Census 2001,Chhattisgarhi,x,,,,x,Yes,Yes,,,,Yes,,,,,,,,
Bhattiyali,bht,Himachal Pradesh,Indo-Aryan,Translation in Progress,North West Zone,,OA,102252,census 1991,,Himachal Pradesh [Chamba District - Bhattiyat Tahsil - Sihunta Sub-Tahsil],,,"Kangri could be reference project, Kangri on research",,,X,,2016,,,,,,,Pahari cluster,,,53,1%,,,,,,,,,,,,,,,,,,,,,,,,
Bhilali,bhi,Madhya Pradesh,Indo-Aryan,Translation in Progress,Central Zone,ORBIT,ORBIT,680689,Census 2001,,"Madhya Pradesh [Khargone - Segaon block, Barwani - Rajpur block, southern Jhabua and southern Dhar districts]; Maharashtra [Dhule District]; some in Gujarat; Karnataka; Rajasthan",1,,,,,X,,2001,,,,,,,Madhya Pradesh cluster,,,54,,,,,,,,,,,,,,,,,,,,,,,,,
Bhili,bhb,Madhya Pradesh,Indo-Aryan,Translation in Progress,Central Zone,"BSI, CMA, GR, CCC, FEBA, M, RC, TWR, WCOI, GFA Radio",INDP,3313481,Census 2001,,"Madhya Pradesh [Jhabua, Dhar, Ratlam, Indore, Khargone (West Nimar) districts]; Gujarat [Dahod, Panchmahals, Sabarkantha districts]; Bhil peoples speaking various Bhil related languages also in Rajasthan; Maharashtra; some in Jammu and Kashmir; Andhra Pra",1,,,,,X,,1980,,,,,,,Bhil cluster,,,55,1 - 5%,10%,,,x,x,,,x,Yes,Yes,,,,Yes,,,,,,,,,,
Bhojpuri,bho,Uttar Pradesh,Indo-Aryan,NT available,Hindi Zone,"GR, CCC, CNI, FEBA, IBT, SGM, AOG, Calvary Gospel Mission, OM, TWR, BSI, GFA",IBT/IEM,33099497,Census 2001,,"Uttar Pradesh [Gorakhpur, Basti, Deoria, Azamgarh, Ghazipur, Varanasi, Mirzapur, Ballia districts]; Bihar [Champaran, Saran, Shahabad districts]; Jharkhand [Palamau, Ranchi districts]; Assam; Delhi; Madhya Pradesh; West Bengal",,X,,,,,,1999,,2006,,,,,Bhojpuri cluster,,,56,5 - 30%,50 - 75%,,,x,x,x,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,
Bhunjia,bhu,Odissa,Indo-Aryan,Research Need,East Zone,,,18504,Census 2001,,"Madhya Pradesh [Hoshangabad districts]; Chhattisgarh [Raipur district]; Orissa [Sambalpur, Kalahandi, Koraput, Dhenkanal, Balasore (Balasore), Keonjhar districts, Sunabera Plateau area]; Maharashtra",,,,,,,,,,,,,,,Odisha cluster,,NIEA is planning to start demonstration soon,57,,24%,Census 2001,Odiya,,,,,,,,,,,,,,,,,,,,,
Biete,biu,Mizoram,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, PR, SGM, BSI, WCOI",,19000,Ethnologue 09,,"Mizoram [Aizawl district - Darlawn, Ratu, New Vervek villages]; Assam [Cachar Hills], Manipur; Meghalaya [Jaintia Hills District]",,,,,,,,,,1985,,2005,,,Biete cluster,,,58,56%,,,,,,,x,,,,,,,,,,,,,,,,,
Bijori,bix,Jharkhand,Austro-Asiatic,Translation in Progress,East Zone,,NLCI,5365,Census 2001,,Jharkhand [Cowerdaga and Ranchi districts], West Bengal [Darjeeling and Jalpaiguri districts], Madhya Pradesh, Orissa,1,,,"Mark Gospel published. Mark and Luke consultant checking over, Mathew and John drafting is over. I Corin drafting, Jude and I John going on.",,X,,2010,,,,,,,Munda,,,59,,10%,,Hindi,,,,,,,,,,,,,,,,,,
Bilaspuri,kfs,Himachal Pradesh,Indo-Aryan,Translation in Progress,North West Zone,,OA/SAG,179511,Census 2001,,Himachal Pradesh [Bilaspur District],1,,Kangri as reference project,,,X,,2010,,,,,,,Pahari cluster,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
Birhor,biy,Jharkhand,Austro-Asiatic,Translation in Progress,East Zone,,NLCI,9639,Census 2001,,"Jharkhand [southern Hazaribag, southern Palamau, Singhbhum, and Ranchi districts]; Chhattisgarh [Raigarh District]; Orissa [Sundargarh, Kalahandi, Keonjhar, Mayurbhanj, Sambalpur districts]; West Bengal [Puruliya district]; Maharashtra",1,,,"Mark Gospel published. Mark and Luke consultant checking over, Mathew and John drafting isover. I Corin drafting, Jude and I John going on.",,X,,2010,,,,,,,Munda,,,61,1%,10%,,Hindi,,,,,,,,,,,,,,,,,,,,,
Bishnupriya,bpy,Assam,Indo-Aryan,Translation in Progress,NEI Zone,"GR, BI, SGM",BSI/TSC,72899,Census 2001,,"Assam [Cachar, Hailakandi, Karimganj Districts]; Tripura [North]",1,,,,,X,,2010,,,,,,,Assam,,,62,,80%,,,,,,,,,,,,,,,,,,,,,,,
Bodo,brx,Assam,Tibeto-Burman,Whole Bible Available,NEI Zone,"BAP, GR, RC, SGM, NLM, BSI, TWR, WCOI, GFA Radio",BSI,1330775,Census 2001,,"Assam [mainly in Darrang, Nagaon, Kamrup districts; also in Goalpara, Sibsagar, Lakhimpur districts]; West Bengal [Darjeeling, Jalpaiguri, Koch-Bihar districts]; Manipur [Chandel District]; Meghalaya [West Garo Hills district - 7 villages in the Tikrikill",,,,,,,,,,1938,,1981,,,Assam,,,63,,73%,Census 2001,,x,x,,x,,Yes,Yes,,,,Yes,,,,,,,,,,
Bodo Parja,bdv,Odissa,Indo-Aryan,NT available,East Zone,"IMS in Malkangiri, IBT",IBT,317301,Census 2001,,Orissa [Koraput District],,X,,,,X,,1995/2015,,,,,,,Odisha cluster,,,64,,15%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Bondo,bfw,Odissa,Austro-Asiatic,Translation in Progress,East Zone,"AKS, IMS, Believers Church",AKS/NLCI,9378,Census 2001,,"Orissa [Malkangiri district - Khoirput block, Bondo Hills]",1,,,"Gospel of Mark & John, epistles of Philemon & James are consultant checked and trial published. Gospel of Luke is ready to be consultant checked. After mother tongue drafting 2 Corinthians, 1 & 2 Timothy, Titus, and Revelation are checked for exegetical issues. Mathew, Acts 1-25, 2 Corinthians, 1 Peter, 2 Peter, I John, 2 John & 3 John and Romans (Romans going on).",,X,,1997,,,,,,,Bondo cluster,,,65,,12%,Census 2001,,x,x,,,,,,,,,Yes,,,,,,,,,,
